作品名,アイテムカテゴリ,アイテム名,フレーバーテキスト,取得先URL
"ダークソウル1","その他","投擲アイテム","投擲用のナイフ敵に投げつける弓などに比べ飛距離は短く、精度も低いが簡単に間接攻撃ができるアイテムこれ以外に間接攻撃手段がないようであれば備えとして持っておくのもよいだろう（アイテム: 不明）\n\n---\n\n投擲用のナイフ刃に毒が塗られており、敵に投げつける弓などに比べ飛距離は短く、精度も低いが簡単に間接攻撃ができるアイテム敵を毒状態にすることができればしばらくダメージを与え続けることができる（アイテム: 不明）\n\n---\n\n火薬の詰められた素焼きの壷爆発して炎ダメージを与える比較的威力の大きい間接攻撃でありまた炎ダメージが有効な場面もあるため特に低レベルでは貴重なアイテムであるこれを愛用し、戦術に組み込む戦士も多い（アイテム: 不明）\n\n---\n\n火薬の詰められた黒い素焼きの壷爆発して炎ダメージを与える威力の大きい間接攻撃でありまた炎ダメージが有効な場面もあるため特に低レベルでは貴重なアイテムである特に黒い火炎壷は、通常のものより威力が大きい（アイテム: 不明）\n\n---\n\nわずかなソウルが残った頭蓋骨投げつけることでそのソウルをばら撒き一部の敵を誘い寄せるソウルとは生命の象徴でありそれに餓えた亡者などを誘い寄せるがすべての敵に有効なわけではない（アイテム: 不明）\n\n---\n\n主神ロイドの騎士が不死人を狩るときの道具効果範囲内でエストによる回復をできなくする人の世界では、不死人は呪われた化け物であり不死を狩るロイドの騎士は英雄ですらあるその英雄は、この祝福された護符により不死の回復だけを封じ、正々堂々と戦うのだ（アイテム: 不明）\n\n---\n\n瑞々しい排泄物。大便敵に投げつけ、猛毒を蓄積していくが自分にも猛毒が蓄積していく臭いも強く、あまり持ち歩きたくない類だが敵を猛毒状態にすることができればしばらく大ダメージを与え続けることができる（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%c5%ea%da%b3%a5%a2%a5%a4%a5%c6%a5%e0"
"ダークソウル1","その他","ソウル","火防女の魂(灰色の聖女)（アイテム: 不明）\n\n---\n\n火防女の魂(暗月の女騎士)（アイテム: 不明）\n\n---\n\n火防女の魂(混沌の娘)（アイテム: 不明）\n\n---\n\n故も知らぬ不死のソウル（アイテム: 不明）\n\n---\n\n故も知らぬ不死の大きなソウル（アイテム: 不明）\n\n---\n\n名も無き戦士の大きなソウル（アイテム: 不明）\n\n---\n\n高名な騎士の大きなソウル（アイテム: 不明）\n\n---\n\n勇敢な勇者の大きなソウル（アイテム: 不明）\n\n---\n\n薪の王グウィンのソウル（アイテム: 不明）\n\n---\n\n深淵の主マヌスのソウル（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%bd%a5%a6%a5%eb"
"ダークソウル1","その他","ツール","黒い瞳のオーブ(火防女)（アイテム: 不明）\n\n---\n\n黒い瞳のオーブ(シバ)※未実装（アイテム: 不明）\n\n---\n\n火防女の死体に残っていた神秘のオーブ彼女を殺した者の世界に侵入しその世界の主を倒すことができれば火防女の魂を取り戻せるだろう黒い瞳はじっとアノール・ロンドを見つめている（アイテム: 不明）\n\n---\n\n裏切り者シバの残した神秘のオーブシバの世界に侵入し、彼を倒すことができれば奪われた「混沌の刃」を取り戻せるだろうだが黒い瞳は焦点を失い、不安げに蠢いている裏切り者はどこにいるのだろうか…（アイテム: 不明）\n\n---\n\n呪われた不死人の証このリングが現れた者は、死んでも蘇りやがて心をなくした亡者となるリングはまた自死の力を持ち使用者は人間性とソウルをすべて失い最後に休息した篝火に戻る（アイテム: 不明）\n\n---\n\n騎士アルトリウスの紋章が刻まれた銀のペンダントアノール・ロンドの古い宝具の１つであり深淵に挑む彼に特別に贈られたもの使用により深淵の闇特に魔法の類を避ける効果がある（アイテム: 不明）\n\n---\n\n真鍮でできた双眼の遠眼鏡遠くの景色が大きく見えるアストラの名工の手になる、非常に進んだ道具できることは単純だが、使い方はいろいろあり持つ者によってその価値は大きく変わる（アイテム: 不明）\n\n---\n\n朽ちぬ古竜の力を宿した石古竜に祈り、近づこうとする超越者たちの秘儀人頭を竜のそれとし、竜のブレスを吐く超越者の目指すものは、生命の超越でありそのために古竜の完全な似姿を得ることであるこの秘儀はその入口にすぎないがその変態効果は死ぬまで解けることはない（アイテム: 不明）\n\n---\n\n囚われのゴーが彫り続ける古木の人面彼はこれに感情を僅かずつ移し、悟りに近づいていく人面は刺激により声を発しその内容は移された感情により異なる…この人面は「こんにちは」のようだそう思えば親しげな顔にも見える（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%c4%a1%bc%a5%eb"
"ダークソウル1","その他","強化素材","武器を強化する楔石の欠片そのもっともありふれたもの通常の武器を＋５まで強化する楔石の欠片は神の持つ原盤から剥がれた薄片であるといわれ武器に刻み込むことでその武器を強化する（アイテム: 不明）\n\n---\n\n武器を強化する青楔石の原盤伝承では神が持つとされていたもの魔法の武器を＋１０に強化し魔力の武器を＋５に強化する原盤は、名も無き鍛治の神の遺物であり選ばれた神の武器を鍛えるためのものであるこれによって鍛えられた武器は数少ない伝説の武器に並び称されるだろう（アイテム: 不明）\n\n---\n\n武器を強化する白楔石の原盤伝承では神が持つとされていたもの神聖の武器を＋１０に強化し邪教の武器を＋５に強化する原盤は、名も無き鍛治の神の遺物であり選ばれた神の武器を鍛えるためのものであるこれによって鍛えられた武器は数少ない伝説の武器に並び称されるだろう（アイテム: 不明）\n\n---\n\n武器を強化する赤楔石の原盤伝承では神が持つとされていたもの炎の武器を＋１０に強化し混沌の武器を＋５に強化する原盤は、名も無き鍛治の神の遺物であり選ばれた神の武器を鍛えるためのものであるこれによって鍛えられた武器は数少ない伝説の武器に並び称されるだろう（アイテム: 不明）\n\n---\n\n竜の体から生まれるというドラゴンウェポンを強化するウロコ竜のウロコは古竜の体の一部であり古竜の永遠を求める超越者たちが世界の垣根を超え探し求めているという（アイテム: 不明）\n\n---\n\n顔の無い石の魔物楔のデーモンから奪える特別な楔石特別なソウルから生まれた武器を＋５まで強化する名も無き鍛治の神が死して後幾つかの原盤から魔物が生まれたそれらはいまだ楔の力を帯びロードランの地をさまよっている（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%b6%af%b2%bd%c1%c7%ba%e0"
"ダークソウル1","その他","マルチプレイ専用","ひび割れた赤い瞳のオーブ（アイテム: 不明）\n\n---\n\nオンラインプレイ専用アイテム召喚サインを書くサインから他世界に霊体として召喚され召喚されたエリアの主を倒すことができれば人間性を得ることができる（召喚は亡者では行えない）時の流れの淀んだロードランの地で不死人たちがお互い助け合うための手段（アイテム: 不明）\n\n---\n\n不死となった追放者に与えられる黒水晶は古くより、決別の証であり召喚した霊体を元の世界に戻し召喚された他世界から元の世界に戻ることができるだが、出会いを大切に思うのであれば軽々しくこれを使用するべきではない（アイテム: 不明）\n\n---\n\n罪の女神ベルカの司祭が売っている符他世界からの侵入者に殺されたときその侵入者の罪を告発する告発された者は罪人録に載りいつか暗月の刃に倒れるだろう（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\nDSRマルチプレイ専用（アイテム: 不明）\n\n---\n\n白いサインろう石（英名：White Sign Soapstone）（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%a5%de%a5%eb%a5%c1%a5%d7%a5%ec%a5%a4%c0%ec%cd%d1"
"ダークソウル1","その他","誓約アイテム","オンラインプレイ専用アイテム他の世界から霊体を誘い込む（誓約者のみが使用でき、亡者では使用できない）禍々しい「死の瞳」は、他の世界に災厄をばら撒き犠牲者となる霊体を誘い込むための手段である犠牲者は「死の瞳」を生み、災厄は更に広がるのだ（アイテム: 不明）\n\n---\n\n血が抜けて縮んだ耳倒れた罪人から切り取られたもの暗月の剣の騎士たちは、神々の敵たる罪人を誅しその証としてこれを持ち帰る耳のない罪人の死体は恐怖の対象となる人々は復讐の刃を知り、もって神々を敬うだろうそれが、陰の太陽の永の使命なのだ（アイテム: 不明）\n\n---\n\n太陽のホーリーシンボルが刻まれたメダル太陽の戦士を召喚し、目的を達成した皆に贈られるわずかに熱を帯びた、なによりの名誉の証シンボルの主、太陽の光の長子はすべての記録と共に神を追われて久しいがいまだ戦神として、戦士たちを見守っている（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\nDSR誓約アイテム（アイテム: 不明）\n\n---\n\n死の瞳（英名：Eye of Death）（アイテム: 不明）\n\n---\n\n古竜の瞳（英名：Dragon Eye）（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%c0%c0%cc%f3%a5%a2%a5%a4%a5%c6%a5%e0"
"ダークソウル1","その他","貴重品","王のソウル(墓王ニト)（アイテム: 不明）\n\n---\n\n王のソウル(混沌の苗床)（アイテム: 不明）\n\n---\n\n分け与えられた王のソウル(四人の公王)（アイテム: 不明）\n\n---\n\nリフト部屋の鍵※未実装（アイテム: 不明）\n\n---\n\n武器を進化させるために必要な種火大きな種火は中でも上質なものでありアストラの鍛冶屋が扱う＋５の通常武器を進化させ＋１０まで強化できるようにするまた、＋５の通常武器を粗製武器に進化させる（粗製武器は＋５まで強化できる）（アイテム: 不明）\n\n---\n\n注ぎ火にて、さらに大きく篝火を育てより多くのエストを得るための秘儀聖職の伝承に秘密として伝わるが儀式自体はすべての不死人が行えるしかし人は、不死となりはじめて人間性の「使い途」を得るものなのか（アイテム: 不明）\n\n---\n\n楔石を刻み込み武器を強化するための道具篝火で休息するときに武器を強化できるようになる（アイテム: 不明）\n\n---\n\n楔石を刻み込み防具を強化するための道具篝火で休息するときに防具を強化できるようになる（アイテム: 不明）\n\n---\n\n専用の臼により修理の光粉を挽き武器、防具を修理するための道具篝火で休息するときに武器、防具を修理できるようになるただしこの光粉は長持ちせず持ち歩くことはできない（アイテム: 不明）\n\n---\n\n底の抜けた不思議な木箱貪欲者の烙印とも呼ばれるようだがその由来は分からないいくらでもアイテムを入れることができ篝火で休息するときに、自由に出し入れできる（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%b5%ae%bd%c5%c9%ca"
"ダークソウル1","その他","矢・ボルト","標準的な矢威力、飛距離共に見るべきところはないが単価が安く、大量使用に適する（アイテム: 不明）\n\n---\n\n標準的な矢何らかの矢を装備しないと弓を撃つことはできない（アイテム: 不明）\n\n---\n\n大型の矢重く威力も高いが、飛距離は短くなる（アイテム: 不明）\n\n---\n\n王の狩人が用いる赤羽の矢飛距離が長く、遠距離からの狙撃に適する（アイテム: 不明）\n\n---\n\n矢じりに火をつけて撃つ矢炎属性のダメージを与える（アイテム: 不明）\n\n---\n\n矢じりに毒を塗った矢狩りや暗殺の確実性を高めるためのもの敵が毒状態になったら、あとは待てばよいのだ（アイテム: 不明）\n\n---\n\nグウィン王の末子にして、陰の太陽グウィンドリンの誓約者に与えられる魔法の矢その矢は銀の光を帯び、魔法ダメージを与える（アイテム: 不明）\n\n---\n\n竜狩りの大弓専用の、鉄槍のように巨大な矢「鷹の目」ゴーの率いた竜狩り隊のもので人のごときは簡単に貫いてしまうこの大矢は竜狩りの大弓でしか使えずまた、竜狩りの大弓はこの大矢しか使えない（アイテム: 不明）\n\n---\n\nグウィン王の四騎士の一人「鷹の目」ゴーの用いた竜狩りの大矢大弓専用石の矢じりも、きつく巻かれた樹皮もすべてゴー自身の手になるものである（アイテム: 不明）\n\n---\n\n木製の簡易なボルト威力、飛距離共に見るべきところはないが単価が安く、大量使用に適する（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DSR%cc%f0%a1%a6%a5%dc%a5%eb%a5%c8"
"ダークソウル3","その他","消耗品","花付き緑花草（シーリス）（アイテム: 不明）\n\n---\n\n幼い白枝（おくりもの）（アイテム: 不明）\n\n---\n\n鈍い緑色のガラス瓶不死人の宝篝火でエストを溜め、飲んでＨＰを回復する古くより、不死の旅は篝火を巡りエスト瓶はいつも旅と共にあった（アイテム: 不明）\n\n---\n\n鈍い灰色のガラス瓶火の無い灰の宝篝火でエストを溜め、飲んでＦＰを回復する篝火の熱を、冷たく変える灰瓶は火の無い灰にこそ相応しいだろう（アイテム: 不明）\n\n---\n\n英雄たちの内にある残り火火の無き灰たちが終に得られず故に惹かれるもの死ぬまで火の力を得、最大ＨＰを増やすまた、火の力を得た者にはサインが見え残り火に惹かれる協力者を召喚できるだが同時に、侵入者の影も付き纏うだろう（アイテム: 不明）\n\n---\n\nエストの染み付いた破片祭祀場の鍛冶屋に渡すことでエスト瓶の使用回数を増やす古来エスト瓶は不死と共にありこれは砕かれた希望なのだろう（アイテム: 不明）\n\n---\n\nまだ燃え尽きていない、不死人の遺骨祭祀場の篝火にくべ、エストの回復量を高める篝火の薪は不死人の骨でありまだ燃え尽きぬそれは新しい薪になる死を糧とするのなら、死に祈ることだ（アイテム: 不明）\n\n---\n\nロスリックの王妃が祝福したとされる聖水ＨＰを完全に回復し、全ての異常を癒す彼女は先王オスロエスの妻であり豊穣と恵みの女神にすら例えられたが末子オセロットを産んで後、姿を消したという（アイテム: 不明）\n\n---\n\nカタリナのジークバルト謹製の酒樽のジョッキに満たされた旅用の品ＨＰを回復し、一時的に冷気耐性も高める本来、不死人が酒を楽しめるはずもなくジークバルトは何らかの工夫を凝らしたのだろう不死の時はあまりに長く、酒と謳歌が欲しいのだ（アイテム: 不明）\n\n---\n\n弱い魔力を帯びた金属粉装備している武器、防具を修理する耐久度ゼロの武器は対象とならない武器や防具は使い続けると耐久度が下がりこれがゼロになると壊れてしまう壊れていなければ、耐久度は篝火で回復するが念のため、旅先での修理手段を用意しておくとよい（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%be%c3%cc%d7%c9%ca"
"ダークソウル3","その他","投擲アイテム","投擲用の小型ナイフ敵に投げつけ、ダメージを与える多くのアイテムは使い手を選び熟練の使い手は、その威力をさらに高める力を得るとは、いつでもそういうことだ（アイテム: 不明）\n\n---\n\n毒の塗られた投擲用ナイフ敵に投げつけ、毒を伴うダメージを与える亡者の国ロンドールの刺客たちの武器その毒は亡者の血であると揶揄される（アイテム: 不明）\n\n---\n\n投擲用の小型湾刀敵に投げつけ、出血を伴うダメージを与えるカーサスの剣士たちが用いた独特の武器だがいまや盗賊や盗人の類が好んで使用している（アイテム: 不明）\n\n---\n\nフィリアノールの教会守りたちが持つ切っ先の平らな薄刃。特殊な投擲武具ＦＰを消費することで敵に向かい導かれるように飛ぶ薄刃の幻影を投じるいまや数少ない教会守りは、教会の槍と共に王女フィリアノールの永い眠りの番人である（アイテム: 不明）\n\n---\n\n火薬の詰められた素焼きの壺敵に投げつけ、爆発して炎ダメージを与える物理とは異なる炎属性のダメージは生身の肉体や獣など炎に焼かれ、恐れる敵に効果が高い（アイテム: 不明）\n\n---\n\n「火炎壺」に投擲用の紐を付けたもの背後に投げ、爆発して炎ダメージを与える投げる方向以外は火炎壺と変わらない戦闘スタイルや状況に応じ、使い分けるとよいだろう（アイテム: 不明）\n\n---\n\n特殊な火薬により威力を増した「火炎壺」敵に投げつけ、爆発して大きな炎ダメージを与える物理とは異なる炎属性のダメージは生身の肉体や獣など炎に焼かれ、恐れる敵に効果が高い（アイテム: 不明）\n\n---\n\n「黒火炎壺」に投擲用の紐を付けたもの背後に投げ、爆発して炎ダメージを与える投げる方向以外は黒火炎壺と変わらない戦闘スタイルや状況に応じ、使い分けるとよいだろう（アイテム: 不明）\n\n---\n\nロスリック騎士たちの竜狩り道具敵に投げつけ、爆発して雷ダメージを与える竜を友とするロスリック騎士は古くは竜狩りの騎士でもあった故に騎士たちは太陽を信仰し特殊な狩り道具を用いたという（アイテム: 不明）\n\n---\n\n乾いた排泄物。大便その割れた内は瑞々しい敵に投げつけ、猛毒を蓄積させるが自分にも猛毒が蓄積していく臭いも強く、あまり持ち歩きたくない類だが不死人は排泄物に懐古を感じるものだろうかいや殆どは、そんなことはないだろう（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%c5%ea%da%b3%a5%a2%a5%a4%a5%c6%a5%e0"
"ダークソウル3","その他","ソウル","捨てられた遺体のソウル（アイテム: 不明）\n\n---\n\n捨てられた遺体の大きなソウル（アイテム: 不明）\n\n---\n\n故も知らぬ旅人のソウル（アイテム: 不明）\n\n---\n\n故も知らぬ旅人の大きなソウル（アイテム: 不明）\n\n---\n\n名も無き兵士の大きなソウル（アイテム: 不明）\n\n---\n\n力尽きた戦士の大きなソウル（アイテム: 不明）\n\n---\n\n心折れた騎士の大きなソウル（アイテム: 不明）\n\n---\n\n高名な聖騎士の大きなソウル（アイテム: 不明）\n\n---\n\n勇敢な勇者の大きなソウル（アイテム: 不明）\n\n---\n\n歴戦の勇士の大きなソウル（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%a5%bd%a5%a6%a5%eb"
"ダークソウル3","その他","ボスソウル","冷たい谷のボルドのソウル（アイテム: 不明）\n\n---\n\n深みの主教たちのソウル（アイテム: 不明）\n\n---\n\n覇王ウォルニールのソウル（アイテム: 不明）\n\n---\n\n法王サリヴァーンのソウル（アイテム: 不明）\n\n---\n\nデーモンの老王のソウル（アイテム: 不明）\n\n---\n\n妖王オスロエスのソウル（アイテム: 不明）\n\n---\n\n修道女フリーデのソウル（アイテム: 不明）\n\n---\n\nデーモンの王子のソウル（アイテム: 不明）\n\n---\n\n奴隷騎士ゲールのソウル（アイテム: 不明）\n\n---\n\n闇喰らいのミディールのソウル（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%a5%dc%a5%b9%a5%bd%a5%a6%a5%eb"
"ダークソウル3","その他","ツール","呪われた不死人の証最後に休息した篝火か、祭祀場の篝火に戻るがソウルを全て失ってしまうこのリングが現れた者は死んでも蘇り、いつか意志なき亡者となる故に彼らは故郷を追われるのだ（アイテム: 不明）\n\n---\n\nもはや役目を終えた篝火の名残篝火と共にあった螺旋剣の破片最後に休息した篝火か、祭祀場の篝火に戻り使用しても失われない篝火はお互い分かち難く繋がっておりたとえ役目を終えた破片であってもその繋がりはずっと残るのだろう（アイテム: 不明）\n\n---\n\n真鍮でできた双眼の遠眼鏡遠くの景色が大きく見えるできることは単純だが、使い方はいろいろあり持つ者によってその価値は大きく変わる（アイテム: 不明）\n\n---\n\n朽ちぬ古竜の力を宿した石竜信仰の秘儀人頭を竜のそれとし、竜のブレスを吐くまたその変態効果は、死ぬまで解けることはない古竜の道を往く者たちはその完全な似姿を得ようとする竜頭の秘儀はその遥か高みの入り口なのだ（アイテム: 不明）\n\n---\n\n奇妙な人面の彫られた古木その由来はまったく伝わっていない地面に投げ落とすと声を発するただそれだけの品…この人面の声は「こんにちは」のようだそう思えば親しげな顔にも見える（アイテム: 不明）\n\n---\n\nロザリアの死体に残っていた神秘のオーブ彼女を殺した者の世界に侵入しその者を倒せば、魂を取り戻せるだろう黒い瞳は復讐の証であるというだが、じっとイルシールをみつめる瞳はとても穏やかに見える（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%a5%c4%a1%bc%a5%eb"
"ダークソウル3","その他","強化素材","武器を強化する楔石の欠片武器を＋３まで強化するそれは神の原盤から剥がれた薄片であるといわれ武器に刻むことでその武器を強化する（アイテム: 不明）\n\n---\n\n武器を強化する光る楔石力を帯びた武器を＋４まで強化する力を帯びた武器は通常の楔石では強化できずまた変質強化もできないただこの光る楔石だけがその力を消さず、武器を強化できるのだ（アイテム: 不明）\n\n---\n\nソウルにより変質した楔石ソウル錬成された武器を＋４まで強化するソウル錬成によって生まれた武器たちは同じ力を持った楔石でしか強化できないごく稀に結晶トカゲがソウルを喰らい巨大な体に、このウロコを宿すという（アイテム: 不明）\n\n---\n\n楔石が変質化したという貴石ファランの大剣を鍛えて名高い武器の変質強化に使用され重厚な武器を作る重厚な武器は戦士と共にあり特に筋力補正が高くなる（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\n楔石の欠片（英名：Titanite Shard） \n\n説明文英文画像武器を強化する楔石の欠片武器を＋３まで強化するそれは神の原盤から剥がれた薄片であるといわれ武器に刻むことでその武器を強化するTitanite shard for weapon reinforcement.Reinforces weapons to +3.Titanite shards are fragments ofthe Legendary Slabs. Titanite isetched into weapons to reinforce.（アイテム: 不明）\n\n---\n\n楔石の大欠片（英名：Large Titanite Shard） \n\n説明文英文画像武器を強化する楔石の欠片その中でも特に大きなもの武器を＋６まで強化するそれは神の原盤から剥がれた薄片であるといわれ武器に刻むことでその武器を強化するTitanite shard for weapon reinforcement.A larger shard that reinforces weapons to +6.Titanite shards are fragments ofthe Legendary Slabs. Titanite isetched into weapons to reinforce.（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%b6%af%b2%bd%c1%c7%ba%e0"
"ダークソウル3","その他","マルチプレイ専用","ひび割れた赤い瞳のオーブ（アイテム: 不明）\n\n---\n\nオンラインプレイ専用アイテム協力する、白い召喚サインを書くサインから他世界に霊体として召喚されそのエリアの最後の戦いに勝利すれば火の力を得ることができる全てが淀んだロスリックの地で火の無き灰たちがお互い助け合うための手段（アイテム: 不明）\n\n---\n\n不死の追放者に与えられる決別の証召喚した霊体を元の世界に戻すことができ召喚された他世界から元の世界に戻ることもできるだが、出会いを大切に思うのであれば軽々しくこれを使用するべきではない（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）\n\n---\n\n利用規約をご確認のうえご記入下さい（アイテム: 不明）\n\n---\n\nフロムソフト フレーバーテキスト\nフロム・ソフトのフレーバーテキストをまとめる場所（アイテム: 不明）\n\n---\n\nDS3マルチプレイ専用（アイテム: 不明）\n\n---\n\n白いサインろう石（英名：White Sign Soapstone）（アイテム: 不明）\n\n---\n\n説明文英文画像オンラインプレイ専用アイテム協力する、白い召喚サインを書くサインから他世界に霊体として召喚されそのエリアの最後の戦いに勝利すれば火の力を得ることができる全てが淀んだロスリックの地で火の無き灰たちがお互い助け合うための手段Online play item.Create a co-op summon sign.Be summoned to another world as a phantomthrough your sign, and defeat the area bossto gain the strength of flame.The nature of Lothric is murky, unclear.The White Sign Soapstone allows Unkindledto assist one another.（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%a5%de%a5%eb%a5%c1%a5%d7%a5%ec%a5%a4%c0%ec%cd%d1"
"ダークソウル3","その他","誓約アイテム","フィリアノールの槍飾り（アイテム: 不明）\n\n---\n\n「太陽の戦士」の誓約にある者が召喚され、エリア最後の戦いに勝利した証助けられた者もまたこの証を得る太陽のホーリーシンボルが刻まれたメダルはわずかに熱を帯びている分かち合った勝利の、なによりの名誉の証だ（アイテム: 不明）\n\n---\n\n古い青教との約定に基づき神の敵たる闇霊を狩った証耳のない死体は恐怖の対象となり人々は暗月の剣と、神の敵たる不敬を知るだろうそれが陰の太陽の永の使命なのだ（アイテム: 不明）\n\n---\n\n赤い瞳の侵入者たちが火の宿主を倒した証舌を奪って証しとするやり方は元はある侵入者集団の流儀であったという彼らはそれを、声なき女神に捧げるらしい（アイテム: 不明）\n\n---\n\n「積む者」の誓約にある者が他世界の者たちを殺し、見出す特別な骨それは椎骨にひとつだけ見られるもので積む者たちはそれを、神の枷と考えている（アイテム: 不明）\n\n---\n\n老狼と共に戦士たちの眠りを守るファランの番人たちが、その使命を果たした証乾いた血の付いた剣草の葉それはかつて不死隊が連絡に用いた符牒であり腐った森に眠る戦士たちの霊が番人にもたらす承認と感謝の証であるという少なくとも番人たちは、そう信じている（アイテム: 不明）\n\n---\n\nエルドリッチの神喰らいを待ち続ける神喰らいの守り手たちが、その使命を果たした証人の内にある最も重いもの。人の澱みそれはどんな深みにも沈み故にいつか、世界の枷になるという（アイテム: 不明）\n\n---\n\n王女フィリアノールの眠りを守る教会の槍たちが、その使命を果たした証若草の紋章のあしらわれた黄金の飾り布それはかつて、王女の騎士たちの誇りであり特に謳われた、揃いの儀式槍にたなびいたという（アイテム: 不明）\n\n---\n\nユーザIDを使用しないで書き込む（アイテム: 不明）\n\n---\n\n画像に記載されている文字を下のフォームに入力してください。（アイテム: 不明）","https://seesaawiki.jp/fromsoft_flavor-text/d/DS3%c0%c0%cc%f3%a5%a2%a5%a4%a5%c6%a5%e0"
