アイテム名,URL,フレーバーテキスト
"幼祖霊の頭","https://kamikouryaku.net/eldenring/?%E5%B9%BC%E7%A5%96%E9%9C%8A%E3%81%AE%E9%A0%AD","これから幾度も芽吹きを迎えるであろう
ごく幼い祖霊の頭蓋
FPを消費して、霊の飛沫を振りまき
魔力ダメージを与える
飛沫は一時的に泉となり、消えるまで
触れたものにダメージを与え続ける"
"永遠の都、ノクローン","https://kamikouryaku.net/eldenring/?%E6%B0%B8%E9%81%A0%E3%81%AE%E9%83%BD%E3%80%81%E3%83%8E%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%B3","（フレーバーテキストなし）"
"忌み水子","https://kamikouryaku.net/eldenring/?%E5%BF%8C%E3%81%BF%E6%B0%B4%E5%AD%90","呪われて生まれた赤子の像
FPを消費して、追いすがる呪霊を放つ
忌み赤子は、その醜い角をすべて切られ
大抵はそのまま死んでしまう
これは、その供養の像である
どうか、私を恨み、呪わないでください"
"忌み捨ての地下","https://kamikouryaku.net/eldenring/?%E5%BF%8C%E3%81%BF%E6%8D%A8%E3%81%A6%E3%81%AE%E5%9C%B0%E4%B8%8B","忌み捨ての地下にはショートカットが多数存在するが、大きく「糞喰い方面」と「ローデイルの地下墓方面」の2つに分かれる。
「ローデイルの地下墓方面」はローデイルの地下墓へ行くための寄り道ルートで、「糞喰い方面」がエリアボス「忌み子、モーグ」へと繋がる正規ルートである。"
"王家の忌み水子","https://kamikouryaku.net/eldenring/?%E7%8E%8B%E5%AE%B6%E3%81%AE%E5%BF%8C%E3%81%BF%E6%B0%B4%E5%AD%90","黄金樹の王家に
呪われて生まれた赤子の像
FPを消費して、追いすがる多くの呪霊を放つ
王家の忌み水子は、角を切られることはない
その替り、誰にも知られず、地下に捨てられ
永遠に幽閉される
そしてひっそりと、供養の像が作られる"
"忌み王の追憶","https://kamikouryaku.net/eldenring/?%E5%BF%8C%E3%81%BF%E7%8E%8B%E3%81%AE%E8%BF%BD%E6%86%B6","黄金樹に刻まれた
忌み王、モーゴットの追憶
指読みにより、主の力を得ることができる
また、使用により莫大なルーンを得ることもできる
祝福なき忌み子として生まれ落ちてなお
モーゴットは、黄金樹の守人であろうとした
愛されたから、愛したのではない
彼はただ愛したのだ"
"角水子","https://kamikouryaku.net/eldenring/?%E8%A7%92%E6%B0%B4%E5%AD%90","混じり角の生えた赤子の像
FPを消費して、術者の周りに怨霊を召喚する
怨霊は、自ら敵に追いすがる
混じり角は霊性の象徴であるが
大きすぎるそれを持って生まれた赤子は
大抵はそのまま死んでしまう
これは、その供養の像である"
"ラーナの香油瓶","https://kamikouryaku.net/eldenring/?%E3%83%A9%E3%83%BC%E3%83%8A%E3%81%AE%E9%A6%99%E6%B2%B9%E7%93%B6","真っ赤な布の巻かれた小瓶
可燃性の香油で満たされている
ＦＰを消費して、炎で前方を焼き払う
ラーナの踊り子は、これを隠して舞い
その熱情と舞踏の頂点を
熱い炎と、甘い香りで彩るという"
"青海岸","https://kamikouryaku.net/eldenring/?%E9%9D%92%E6%B5%B7%E5%B2%B8","（フレーバーテキストなし）"
"絆の石","https://kamikouryaku.net/eldenring/?%E7%B5%86%E3%81%AE%E7%9F%B3","純白の宝石を嵌めこんだ、大きな巣穴石
特別な結石を磨き上げたものだという
霊力の爆発を制御するための呪具
使用により、精霊石の精霊を消し
その時に霊力の爆発を起こす
精霊との絆は、それを断ち切るために結ばれる"
"ラウフの古遺跡","https://kamikouryaku.net/eldenring/?%E3%83%A9%E3%82%A6%E3%83%95%E3%81%AE%E5%8F%A4%E9%81%BA%E8%B7%A1","（フレーバーテキストなし）"
"擬態のヴェール","https://kamikouryaku.net/eldenring/?%E6%93%AC%E6%85%8B%E3%81%AE%E3%83%B4%E3%82%A7%E3%83%BC%E3%83%AB","繊細な意匠が施された、金褐色のヴェール
FPを消費して、様々な物体に擬態する
ゴドリックが、王都ローデイルを追われた時
大量に持ち出した秘蔵品のひとつであり
「マリカの戯れ」としても知られる"
"ストームヴィル城","https://kamikouryaku.net/eldenring/?%E3%82%B9%E3%83%88%E3%83%BC%E3%83%A0%E3%83%B4%E3%82%A3%E3%83%AB%E5%9F%8E","（フレーバーテキストなし）"
"帳の恩寵","https://kamikouryaku.net/eldenring/?%E5%B8%B3%E3%81%AE%E6%81%A9%E5%AF%B5","死衾の乙女がもたらす恩寵
寝所にも似た、密かな神殿の加護
FPを消費して、一時的に強靭度を高める
その恩寵は、あらゆる痛みを忘れさせる
何も感じぬからこそ、死は安らぎなのだ"
"死衾の乙女、フィア","https://kamikouryaku.net/eldenring/?%E6%AD%BB%E8%A1%BE%E3%81%AE%E4%B9%99%E5%A5%B3%E3%80%81%E3%83%95%E3%82%A3%E3%82%A2","円卓の鍛冶屋ヒューグの横の部屋にいるNPC。
英雄を抱くことで、生きる意志や力を分けてもらい、その後に偉大な方の遺体と同衾することで再びの生を与えることが出来るという。"
"光射す帳の恩寵","https://kamikouryaku.net/eldenring/?%E5%85%89%E5%B0%84%E3%81%99%E5%B8%B3%E3%81%AE%E6%81%A9%E5%AF%B5","寝所にも似た、密かな神殿の加護
その最も特別なもの
FPを消費して、一時的に強靭度を高め
その持続時間は通常よりも長くなる
死衾の乙女は、ただ生涯に一度だけ
英雄にこれをもたらしたという
それだけが、乙女の意志に任されたのだと"
"古竜の恩寵","https://kamikouryaku.net/eldenring/?%E5%8F%A4%E7%AB%9C%E3%81%AE%E6%81%A9%E5%AF%B5","竜王プラキドサクスの名のもとに
竜餐の巫女がもたらす恩寵
FPを消費して
物理を含めた全てのカット率を高め
同様に、ガード時カット率も高める
巫女は、毎夜自身の眠りを捧げることで
竜王から恩寵の力を借り受けているという"
"竜餐の巫女","https://kamikouryaku.net/eldenring/?%E7%AB%9C%E9%A4%90%E3%81%AE%E5%B7%AB%E5%A5%B3","（フレーバーテキストなし）"
"マルギットの拘束具","https://kamikouryaku.net/eldenring/?%E3%83%9E%E3%83%AB%E3%82%AE%E3%83%83%E3%83%88%E3%81%AE%E6%8B%98%E6%9D%9F%E5%85%B7","黄金の魔力を帯びた呪物
忌み子と呼ばれる呪われた者たち
そのただ一人を、特に厳重に拘束するもの
僅かだが、その拘束の魔力は残っており
かつての幽囚、マルギットを
一時的に地に縛るだろう"
"モーグの拘束具","https://kamikouryaku.net/eldenring/?%E3%83%A2%E3%83%BC%E3%82%B0%E3%81%AE%E6%8B%98%E6%9D%9F%E5%85%B7","黄金の魔力を帯びた呪物
忌み子と呼ばれる呪われた者たち
そのただ一人を、特に厳重に拘束するもの
僅かだが、その拘束の魔力は残っており
かつての幽囚、モーグを
一時的に地に縛るだろう"
"冒涜の爪","https://kamikouryaku.net/eldenring/?%E5%86%92%E6%B6%9C%E3%81%AE%E7%88%AA","死のルーンの片鱗が刻まれた岩片
黒き剣の力を逸らすことができる
陰謀の夜、法務官ライカードは
ラニから謝礼として片鱗を貰い受けた
いつか来る冒涜の時、黒き剣のマリケスに
運命の死たる黒獣に挑む切り札として"
"騎士ベルナール","https://kamikouryaku.net/eldenring/?%E9%A8%8E%E5%A3%AB%E3%83%99%E3%83%AB%E3%83%8A%E3%83%BC%E3%83%AB","私は剣しか知らず、それ故に戦技を追い求めた
それを伝えておきたいのだ
貴公のような、まっすぐな褪せ人にな"
"ミケラの大ルーン","https://kamikouryaku.net/eldenring/?%E3%83%9F%E3%82%B1%E3%83%A9%E3%81%AE%E5%A4%A7%E3%83%AB%E3%83%BC%E3%83%B3","棄てられたミケラの大ルーン
完全に壊れており、恩恵が戻ることはないが
ただ、魅了に抗う力だけが残っている
ミケラは、影に隠された塔に向かった
その黄金の身体も、力も、宿命も
全てを棄てて
はじまりから続く因果を超えて
全てを抱く、新しい神になるために"
"影樹の化身","https://kamikouryaku.net/eldenring/?%E5%BD%B1%E6%A8%B9%E3%81%AE%E5%8C%96%E8%BA%AB","撃破すると地面から復活する。2回復活するので、合計で3体倒さなければならない。
見た目通りというべきか炎属性の効きが非常に良い。
弱点は頭(花)部分で、根元を攻撃するよりダメージが通りやすく、炎属性で弱点を攻撃すれば更に大ダメージを狙える。"
"cfa8b0ac","https://kamikouryaku.net/eldenring/?%E9%81%93%E5%85%B7#cfa8b0ac","（フレーバーテキストなし）"
"火脂","https://kamikouryaku.net/eldenring/?%E7%81%AB%E8%84%82","火を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、炎攻撃力を付加する
その効果は一定時間で消える"
"メスメルの火脂","https://kamikouryaku.net/eldenring/?%E3%83%A1%E3%82%B9%E3%83%A1%E3%83%AB%E3%81%AE%E7%81%AB%E8%84%82","火を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、大きな炎攻撃力を付加する
その効果は一定時間で消える
火は聖戦の象徴であり、メスメル軍では
兵卒ですら、それを振るったという"
"魔力脂","https://kamikouryaku.net/eldenring/?%E9%AD%94%E5%8A%9B%E8%84%82","魔力を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、魔力攻撃力を付加する
その効果は一定時間で消える"
"王家の魔力脂","https://kamikouryaku.net/eldenring/?%E7%8E%8B%E5%AE%B6%E3%81%AE%E9%AD%94%E5%8A%9B%E8%84%82","魔力を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、大きな魔力攻撃力を付加する
その効果は一定時間で消える
カーリア王家に使えた下級の騎士たちに
騎士剣の代替として与えられたという"
"雷脂","https://kamikouryaku.net/eldenring/?%E9%9B%B7%E8%84%82","雷を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、雷攻撃力を付加する
その効果は一定時間で消える"
"竜雷脂","https://kamikouryaku.net/eldenring/?%E7%AB%9C%E9%9B%B7%E8%84%82","雷を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、大きな雷攻撃力を付加する
その効果は一定時間で消える
かつて黄金の王子に仕えた
竜信仰の騎士たちが用いたという"
"聖脂","https://kamikouryaku.net/eldenring/?%E8%81%96%E8%84%82","聖性を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、聖攻撃力を付加する
その効果は一定時間で消える"
"黄金脂","https://kamikouryaku.net/eldenring/?%E9%BB%84%E9%87%91%E8%84%82","聖性を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、大きな聖攻撃力を付加する
その効果は一定時間で消える
古い黄金樹の祈祷が施された武具
影の地で、それを為すものはごく少ない"
"祝祭脂","https://kamikouryaku.net/eldenring/?%E7%A5%9D%E7%A5%AD%E8%84%82","遺骨の欠片などを混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、祝祭の祈祷を付与し
攻撃命中時に僅かなルーンを得る
その効果は一定時間で消える
可憐な祝祭は、古い習俗であり
黄金樹はそれを黙認していた"
"毒脂","https://kamikouryaku.net/eldenring/?%E6%AF%92%E8%84%82","毒緑の素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、毒の状態異常を付加する
その効果は一定時間で消える"
"腐敗脂","https://kamikouryaku.net/eldenring/?%E8%85%90%E6%95%97%E8%84%82","腐敗した素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、朱い腐敗の状態異常を付加する
その効果は一定時間で消える"
"血脂","https://kamikouryaku.net/eldenring/?%E8%A1%80%E8%84%82","血赤の素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、出血の状態異常を付加する
その効果は一定時間で消える"
"氷結脂","https://kamikouryaku.net/eldenring/?%E6%B0%B7%E7%B5%90%E8%84%82","氷結した素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、冷気の状態異常を付加する
その効果は一定時間で消える"
"眠り脂","https://kamikouryaku.net/eldenring/?%E7%9C%A0%E3%82%8A%E8%84%82","薄紫の素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、睡眠の状態異常を付加する
その効果は一定時間で消える"
"永眠脂","https://kamikouryaku.net/eldenring/?%E6%B0%B8%E7%9C%A0%E8%84%82","深紫の素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、永眠の状態異常を付加する
その効果は一定時間で消える
その眠りは昏く、弱き者は
二度と目覚めることはない"
"竜傷脂","https://kamikouryaku.net/eldenring/?%E7%AB%9C%E5%82%B7%E8%84%82","さざれ石を混ぜ合わせた根脂
製作可能なアイテムのひとつ
武器に塗り、竜に対する特効を付加する
その効果は一定時間で消える
竜は、古竜より生じたとき、岩のウロコを失った
それこそが、竜に致命の傷を与えるという"
"竜餐脂","https://kamikouryaku.net/eldenring/?%E7%AB%9C%E9%A4%90%E8%84%82","尖ったさざれ石を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
武器に塗り、竜に対する高い特効を付加する
その効果は一定時間で消える
古竜の憎しみで、竜どもを切り裂く
古い竜餐の戦士たちの武具"
"盾脂","https://kamikouryaku.net/eldenring/?%E7%9B%BE%E8%84%82","魔力を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
左手の武器に塗り
すべてのカット率とガード強度を高める
その効果は一定時間で消える
主として盾に使用される"
"紐付き火脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E7%81%AB%E8%84%82","火を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、炎攻撃力を付加する
塊が小さいため効果時間は短め"
"紐付きメスメルの火脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E3%83%A1%E3%82%B9%E3%83%A1%E3%83%AB%E3%81%AE%E7%81%AB%E8%84%82","火を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、大きな炎攻撃力を付加する
塊が小さいため効果時間は短め
火は聖戦の象徴であり、メスメル軍では
兵卒ですら、それを振るったという"
"紐付き魔力脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E9%AD%94%E5%8A%9B%E8%84%82","魔力を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている。
素早く武器に塗り、魔力攻撃力を付加する
塊が小さいため効果時間は短め"
"紐付き王家の魔力脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E7%8E%8B%E5%AE%B6%E3%81%AE%E9%AD%94%E5%8A%9B%E8%84%82","魔力を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、大きな魔力攻撃力を付加する
塊が小さいため効果時間は短め
カーリア王家に使えた下級の騎士たちに
騎士剣の代替として与えられたという"
"紐付き雷脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E9%9B%B7%E8%84%82","雷を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、雷攻撃力を付加する
塊が小さいため効果時間は短め"
"紐付き竜雷脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E7%AB%9C%E9%9B%B7%E8%84%82","雷を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、大きな雷攻撃力を付加する
塊が小さいため効果時間は短め
かつて黄金の王子に仕えた
竜信仰の騎士たちが用いたという"
"紐付き聖脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E8%81%96%E8%84%82","聖性を生じる素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、聖攻撃力を付加する
塊が小さいため効果時間は短め"
"紐付き黄金脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E9%BB%84%E9%87%91%E8%84%82","聖性を生じる素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、大きな聖攻撃力を付加する
塊が小さいため効果時間は短め
古い黄金樹の祈祷が施された武具
影の地で、それを為すものはごく少ない"
"紐付き毒脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E6%AF%92%E8%84%82","毒緑の素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、毒の状態異常を付加する
塊が小さいため効果時間は短め"
"紐付き腐敗脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E8%85%90%E6%95%97%E8%84%82","腐敗した素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、朱い腐敗の状態異常を付加する
塊が小さいため効果時間は短め"
"紐付き血脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E8%A1%80%E8%84%82","血赤の素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、出血の状態異常を付加する
塊が小さいため効果時間は短め"
"紐付き眠り脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E7%9C%A0%E3%82%8A%E8%84%82","薄紫の素材を混ぜ合わせた根脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、睡眠の状態異常を付加する
塊が小さいため効果時間は短め"
"紐付き永眠脂","https://kamikouryaku.net/eldenring/?%E7%B4%90%E4%BB%98%E3%81%8D%E6%B0%B8%E7%9C%A0%E8%84%82","深紫の素材を混ぜ合わせた瘤脂
製作可能なアイテムのひとつ
短い紐が付いている
素早く武器に塗り、永眠の状態異常を付加する
塊が小さいため効果時間は短め
その眠りは昏く、弱き者は
二度と目覚めることはない"
"g7d06fa6","https://kamikouryaku.net/eldenring/?%E9%81%93%E5%85%B7#g7d06fa6","（フレーバーテキストなし）"
"ロア・レーズン","https://kamikouryaku.net/eldenring/?%E3%83%AD%E3%82%A2%E3%83%BB%E3%83%AC%E3%83%BC%E3%82%BA%E3%83%B3","ロアの実を干して乾燥させたもの
製作アイテムのひとつ
騎乗時に霊馬トレントに与え、HPを回復する
人が食しても消化できないが
トレントは嬉しそうだ"
"スイート・レーズン","https://kamikouryaku.net/eldenring/?%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%88%E3%83%BB%E3%83%AC%E3%83%BC%E3%82%BA%E3%83%B3","黄金のロアを干して乾燥させたもの
製作アイテムのひとつ
騎乗時に霊馬トレントに与え
HPを大きく回復する
ロアの黄金は蜜に似て
トレントは嬉しそうだ"
"フローズン・レーズン","https://kamikouryaku.net/eldenring/?%E3%83%95%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%B3%E3%83%BB%E3%83%AC%E3%83%BC%E3%82%BA%E3%83%B3","ロアの原種を干して乾燥させたもの
製作アイテムのひとつ
騎乗時に霊馬トレントに与え
HPをとても大きく回復する
乾燥してなお凍り付いたそれは
食感が楽しく、トレントは嬉しそうだ"
"スピリット・レーズン","https://kamikouryaku.net/eldenring/?%E3%82%B9%E3%83%94%E3%83%AA%E3%83%83%E3%83%88%E3%83%BB%E3%83%AC%E3%83%BC%E3%82%BA%E3%83%B3","ラダの実を干して乾燥させたもの
製作可能なアイテムのひとつ
騎乗時に霊馬トレントに与えると
駆け出すとき、敵を押し出すようになる
その効果は一定時間で消える
本来、霊性を高めるとされる苦薬だが
トレントは嬉しそうだ"
"虹色石","https://kamikouryaku.net/eldenring/?%E8%99%B9%E8%89%B2%E7%9F%B3","遺跡石の簡易な加工物
製作可能なアイテムのひとつ
置かれた場所で、七色の何れかに光り道標となる
また、高所から落としその高さを推し量れ
甲高い音が聞こえた場所で、飛び降りれば
確実な死が待っている
狭間の辺境では、子供たちの遊具であった"
"灯り石","https://kamikouryaku.net/eldenring/?%E7%81%AF%E3%82%8A%E7%9F%B3","遺跡石の加工物。より強く光る虹色石
製作可能なアイテムのひとつ
置かれた場所で光を放ち、周囲を照らす
ただし、その効果は一定時間で消え
色の多様性も失われている
一時とて、夜闇や暗所では役に立とう"
"人鳴り石","https://kamikouryaku.net/eldenring/?%E4%BA%BA%E9%B3%B4%E3%82%8A%E7%9F%B3","霊墓石を加工した墓守の道具
製作可能なアイテムのひとつ
前方に投げ、落ちた場所で
そこに人がいるかのような物音を立てる
孤独な墓守が、人恋しさを紛らわせたという"
"ふんわり綿","https://kamikouryaku.net/eldenring/?%E3%81%B5%E3%82%93%E3%82%8F%E3%82%8A%E7%B6%BF","特殊なやり方で、ロアの実を弾けさせたもの
柔らかいが丈夫な綿の塊
製作可能なアイテムのひとつ
脚底につけることで、一時的に
落下ダメージと落下音を軽減する
また、足音も同様に軽減する
無理をするなら、ふんわりいこうよ"
"石鹸","https://kamikouryaku.net/eldenring/?%E7%9F%B3%E9%B9%B8","キノコの溢液で作られた植物性の石鹸
製作可能なアイテムの一つ
全身の汚れや「まみれ」を落とし
僅かだが、毒の蓄積を軽減する
汚れたままでは、いつか心まで汚れてしまう"
"祝福擬き","https://kamikouryaku.net/eldenring/?%E7%A5%9D%E7%A6%8F%E6%93%AC%E3%81%8D","祝福の導きを模した呪物
製作可能なアイテムのひとつ
祝福と同じように、光跡で道を示すが
それはまったく無秩序である
これは、迷い人が最後に縋る藁である
あるいは無秩序な導きの先にこそ
本当の出会いがあるのかもしれない"
"ガラス片","https://kamikouryaku.net/eldenring/?%E3%82%AC%E3%83%A9%E3%82%B9%E7%89%87","薄汚れたガラスの破片
光を少し反射する、ただそれだけだが
遠目には価値があるようにも見える
自ら光を放つことは決してない
すなわちゴミクズである"
"ランタン","https://kamikouryaku.net/eldenring/?%E3%83%A9%E3%83%B3%E3%82%BF%E3%83%B3","腰につけ、周囲を照らす携帯ランタン
使用により灯りをつけ
もう一度使用することで灯りを消す
松明よりも、照らす範囲は小さいが
手に持つ必要がない利点がある"
"啜り泣きの半島","https://kamikouryaku.net/eldenring/?%E5%95%9C%E3%82%8A%E6%B3%A3%E3%81%8D%E3%81%AE%E5%8D%8A%E5%B3%B6","地図断片に「降り止まぬ愁雨 document.addEventListener('DOMContentLoaded', () => { tippy('.tooltip-4081be6d7e', { content: 'しゅうう。秋から冬にかけて降る、憂いの気持ちを誘うような雨だという。', }); });から、啜り泣きの名で呼ばれている」と書かれている通り、このエリアでは常に雨が降り続けており、時間経過で止むことはない。
雨が降っていると水まみれとなり、炎カット率が+10%、雷カット率が-10%となる。この効果はプレイヤーキャラクターだけでなく敵にも適用され、炎属性のダメージが減る一方、雷属性のダメージは増えるので、使用する武器や戦技、祈祷などの攻撃属性にも気を配るとよいだろう。"
"隠遁商人のボロ家","https://kamikouryaku.net/eldenring/?%E9%9A%A0%E9%81%81%E5%95%86%E4%BA%BA%E3%81%AE%E3%83%9C%E3%83%AD%E5%AE%B6","（フレーバーテキストなし）"
"隠遁商人","https://kamikouryaku.net/eldenring/?%E9%9A%A0%E9%81%81%E5%95%86%E4%BA%BA","（フレーバーテキストなし）"
"湖のリエーニエ","https://kamikouryaku.net/eldenring/?%E6%B9%96%E3%81%AE%E3%83%AA%E3%82%A8%E3%83%BC%E3%83%8B%E3%82%A8","昇降機に乗らず、北側にある封印を調べると祝福「レアルカリア東門」の近くにワープする。この祝福はリエーニエ北東部のエリアである「ベイルム街道」の入り口となっている。
詳細はベイルム街道のページへ。"
"エレの教会","https://kamikouryaku.net/eldenring/?%E3%82%A8%E3%83%AC%E3%81%AE%E6%95%99%E4%BC%9A","NPCの放浪商人カーレからアイテムの購入や情報の入手ができる。
彼の「おすすめ」であるツール鞄は今後の冒険に役立つので、多少無理してでも購入したい。
余裕があれば、松明も買っておくと夜間や暗所の探索がしやすくなるだろう。
カーレは半狼のブライヴと関係のあるNPCなので、彼のイベントを進める場合は覚えておくといい。"
"呼び声頭「こんにちは」","https://kamikouryaku.net/eldenring/?%E5%91%BC%E3%81%B3%E5%A3%B0%E9%A0%AD%E3%80%8C%E3%81%93%E3%82%93%E3%81%AB%E3%81%A1%E3%81%AF%E3%80%8D","人頭に似せて作られた歪な土細工
「こんにちは」と声を発する
それは、声と言葉に永遠を託す
郷愁の呪物である"
"嵐の麓の地下墓","https://kamikouryaku.net/eldenring/?%E5%B5%90%E3%81%AE%E9%BA%93%E3%81%AE%E5%9C%B0%E4%B8%8B%E5%A2%93","エレの教会から北西に進んだ先にあるダンジョン。
地下墓のチュートリアルという立ち位置であり、入り口付近には地下墓の概念について教えてくれる霊体がいる。"
"呼び声頭「ありがとう」","https://kamikouryaku.net/eldenring/?%E5%91%BC%E3%81%B3%E5%A3%B0%E9%A0%AD%E3%80%8C%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%80%8D","人頭に似せて作られた歪な土細工
「ありがとう」と声を発する
それは、声と言葉に永遠を託す
郷愁の呪物である"
"霊廟ヶ原の地下墓","https://kamikouryaku.net/eldenring/?%E9%9C%8A%E5%BB%9F%E3%83%B6%E5%8E%9F%E3%81%AE%E5%9C%B0%E4%B8%8B%E5%A2%93","啜り泣きの半島の中央部にある小黄金樹の少し北西の崖の下にあるダンジョン。
巡礼教会から南下していくと像があり、調べると光で場所を指し示してくれる。また夜であれば霊クラゲが入り口に数匹いるので、目印にすると良い。
盾を持っていないスケルトンからはそこそこ強力な曲剣であるグロスメッサーを入手する事が可能。"
"呼び声頭「ごめんなさい」","https://kamikouryaku.net/eldenring/?%E5%91%BC%E3%81%B3%E5%A3%B0%E9%A0%AD%E3%80%8C%E3%81%94%E3%82%81%E3%82%93%E3%81%AA%E3%81%95%E3%81%84%E3%80%8D","人頭に似せて作られた歪な土細工
「ごめんなさい」と声を発する
それは、声と言葉に永遠を託す
郷愁の呪物である"
"醜き地下墓","https://kamikouryaku.net/eldenring/?%E9%86%9C%E3%81%8D%E5%9C%B0%E4%B8%8B%E5%A2%93","（フレーバーテキストなし）"
"呼び声頭「すばらしい！」","https://kamikouryaku.net/eldenring/?%E5%91%BC%E3%81%B3%E5%A3%B0%E9%A0%AD%E3%80%8C%E3%81%99%E3%81%B0%E3%82%89%E3%81%97%E3%81%84%EF%BC%81%E3%80%8D","人頭に似せて作られた歪な土細工
「すばらしい！」と声を発する
それは、声と言葉に永遠を託す
郷愁の呪物である"
"断崖下の地下墓","https://kamikouryaku.net/eldenring/?%E6%96%AD%E5%B4%96%E4%B8%8B%E3%81%AE%E5%9C%B0%E4%B8%8B%E5%A2%93","（フレーバーテキストなし）"
"呼び声頭「助けてくれ…」","https://kamikouryaku.net/eldenring/?%E5%91%BC%E3%81%B3%E5%A3%B0%E9%A0%AD%E3%80%8C%E5%8A%A9%E3%81%91%E3%81%A6%E3%81%8F%E3%82%8C%E2%80%A6%E3%80%8D","人頭に似せて作られた歪な土細工
「助けてくれ…」と声を発する
それは、声と言葉に永遠を託す
郷愁の呪物である"
"串刺しの地下墓","https://kamikouryaku.net/eldenring/?%E4%B8%B2%E5%88%BA%E3%81%97%E3%81%AE%E5%9C%B0%E4%B8%8B%E5%A2%93","（フレーバーテキストなし）"
"呼び声頭「愛している」","https://kamikouryaku.net/eldenring/?%E5%91%BC%E3%81%B3%E5%A3%B0%E9%A0%AD%E3%80%8C%E6%84%9B%E3%81%97%E3%81%A6%E3%81%84%E3%82%8B%E3%80%8D","人頭に似せて作られた歪な土細工
「愛している」と声を発する
それは、声と言葉に永遠を託す
郷愁の呪物である
特に、愛の言葉は移ろいやすい"
